id,question_label,element_id,subelement_id,key_topic_id,question_text,answer_one,answer_two,answer_three,answer_four,correct_answer,seen,explanation
0,3-1A1,E3,A,1,The product of the readings of an AC voltmeter and AC ammeter is called:,Apparent power.,True power.,Power factor.,Current power.,A,0,
0,3-1A2,E3,A,1,What is the basic unit of electrical power?,Ohm.,Watt.,Volt.,Ampere.,B,0,
0,3-1A3,E3,A,1,What is the term used to express the amount of electrical energy stored in an electrostatic field?,Joules.,Coulombs.,Watts.,Volts.,A,0,
0,3-1A4,E3,A,1,What device is used to store electrical energy in an electrostatic field?,Battery.,Transformer.,Capacitor.,Inductor.,C,0,
0,3-1A5,E3,A,1,What formula would determine the inductive reactance of a coil if frequency and coil inductance are known?,XL = (pi)f L,XL = 2(pi)f L,XL = 1 / 2(pi)f C,XL = 1 / R2+X2,B,0,
0,3-1A6,E3,A,1,What is the term for the out-of-phase power associated with inductors and capacitors?,Effective power.,True power.,Peak envelope power.,Reactive power.,D,0,
0,3-2A1,E3,A,2,What determines the strength of the magnetic field around a conductor?,The resistance divided by the current.,The ratio of the current to the resistance.,The diameter of the conductor.,The amount of current.,D,0,
0,3-2A2,E3,A,2,What will produce a magnetic field?,A DC source not connected to a circuit.,The presence of a voltage across a capacitor.,A current flowing through a conductor.,The force that drives current through a resistor.,C,0,
0,3-2A3,E3,A,2,"When induced currents produce expanding magnetic fields around conductors in a direction that opposes the original magnetic field, this is known as:",Lenz's law.,Gilbert's law.,Maxwell's law.,Norton's law.,A,0,
0,3-2A4,E3,A,2,The opposition to the creation of magnetic lines of force in a magnetic circuit is known as:,Eddy currents.,Hysteresis.,Permeability.,Reluctance.,D,0,
0,3-2A5,E3,A,2,"What is meant by the term ""back EMF""?",A current equal to the applied EMF.,An opposing EMF equal to R times C (RC) percent of the applied EMF.,A voltage that opposes the applied EMF.,A current that opposes the applied EMF.,C,0,
0,3-2A6,E3,A,2,Permeability is defined as:,The magnetic field created by a conductor wound on a laminated core and carrying current.,The ratio of magnetic flux density in a substance to the magnetizing force that produces it.,Polarized molecular alignment in a ferromagnetic material while under the influence of a magnetizing force.,None of these.,B,0,
0,3-3A1,E3,A,3,What metal is usually employed as a sacrificial anode for corrosion control purposes?,Platinum bushing.,Lead bar.,Zinc bar.,Brass rod.,C,0,
0,3-3A2,E3,A,3,What is the relative dielectric constant for air?,1,2,4,0,A,0,
0,3-3A3,E3,A,3,Which metal object may be least affected by galvanic corrosion when submerged in seawater?,Aluminum outdrive.,Bronze through-hull.,Exposed lead keel.,Stainless steel propeller shaft.,D,0,
0,3-3A4,E3,A,3,Skin effect is the phenomenon where:,"RF current flows in a thin layer of the conductor, closer to the surface, as frequency increases.","RF current flows in a thin layer of the conductor, closer to the surface, as frequency decreases.",Thermal effects on the surface of the conductor increase the impedance.,Thermal effects on the surface of the conductor decrease the impedance.,A,0,
0,3-3A5,E3,A,3,Corrosion resulting from electric current flow between dissimilar metals is called:,Electrolysis.,Stray current corrosion.,Oxygen starvation corrosion.,Galvanic corrosion.,D,0,
0,3-3A6,E3,A,3,Which of these will be most useful for insulation at UHF frequencies?,Rubber.,Mica.,Wax impregnated paper.,Lead.,B,0,
0,3-4A1,E3,A,4,What formula would calculate the total inductance of inductors in series?,LT = L1 / L2,LT = L1 + L2,LT = 1 / L1 + L2,LT = 1 / L1 x L2,B,0,
0,3-4A2,E3,A,4,Good conductors with minimum resistance have what type of electrons?,Few free electrons.,No electrons.,Some free electrons.,Many free electrons.,D,0,
0,3-4A3,E3,A,4,Which of the 4 groups of metals listed below are the best low-resistance conductors?,"Gold, silver, and copper.","Stainless steel, bronze, and lead.","Iron, lead, and nickel.","Bronze, zinc, and manganese.",A,0,
0,3-4A4,E3,A,4,What is the purpose of a bypass capacitor?,It increases the resonant frequency of the circuit.,It removes direct current from the circuit by shunting DC to ground.,It removes alternating current by providing a low impedance path to ground.,It forms part of an impedance transforming circuit.,C,0,
0,3-4A5,E3,A,4,How would you calculate the total capacitance of three capacitors in parallel?,CT = C1 + C2 / C1 - C2 + C3.,CT = C1 + C2 + C3.,CT = C1 + C2 / C1 x C2 + C3.,CT = 1 / C1+1 / C2 + 1 / C3.,B,0,
0,3-4A6,E3,A,4,How might you reduce the inductance of an antenna coil?,Add additional turns.,Add more core permeability.,Reduce the number of turns.,Compress the coil turns.,C,0,
0,3-5A1,E3,A,5,What are the two most commonly-used specifications for a junction diode?,Maximum forward current and capacitance.,Maximum reverse current and PIV (peak inverse voltage).,Maximum reverse current and capacitance.,Maximum forward current and PIV (peak inverse voltage).,D,0,
0,3-5A2,E3,A,5,What limits the maximum forward current in a junction diode?,The peak inverse voltage (PIV).,The junction temperature.,The forward voltage.,The back EMF.,B,0,
0,3-5A3,E3,A,5,MOSFETs are manufactured with THIS protective device built into their gate to protect the device from static charges and excessive voltages:,Schottky diode.,Metal oxide varistor (MOV).,Zener diode.,Tunnel diode.,C,0,
0,3-5A4,E3,A,5,What are the two basic types of junction field-effect transistors?,N-channel and P-channel.,High power and low power.,MOSFET and GaAsFET.,Silicon FET and germanium FET.,A,0,
0,3-5A5,E3,A,5,A common emitter amplifier has:,Lower input impedance than a common base.,More voltage gain than a common collector.,Less current gain than a common base.,Less voltage gain than a common collector.,B,0,
0,3-5A6,E3,A,5,How does the input impedance of a field-effect transistor compare with that of a bipolar transistor?,An FET has high input impedance; a bipolar transistor has low input impedance.,One cannot compare input impedance without first knowing the supply voltage.,An FET has low input impedance; a bipolar transistor has high input impedance.,The input impedance of FETs and bipolar transistors is the same.,A,0,
0,3-6A1,E3,A,6,An AC ammeter indicates:,Effective (TRM) values of current.,Effective (RMS) values of current.,Peak values of current.,Average values of current.,B,0,
0,3-6A2,E3,A,6,"By what factor must the voltage of an AC circuit, as indicated on the scale of an AC voltmeter, be multiplied to obtain the peak voltage value?",0.707,0.9,1.414,3.14,C,0,
0,3-6A3,E3,A,6,What is the RMS voltage at a common household electrical power outlet?,331-V AC.,82.7-V AC.,165.5-V AC.,117-V AC.,D,0,
0,3-6A4,E3,A,6,What is the easiest voltage amplitude to measure by viewing a pure sine wave signal on an oscilloscope?,Peak-to-peak.,RMS.,Average.,DC.,A,0,
0,3-6A5,E3,A,6,"By what factor must the voltage measured in an AC circuit, as indicated on the scale of an AC voltmeter, be multiplied to obtain the average voltage value?",0.707,1.414,0.9,3.14,C,0,
0,3-6A6,E3,A,6,What is the peak voltage at a common household electrical outlet?,234 volts.,117 volts.,331 volts.,165.5 volts.,D,0,
0,3-7A1,E3,A,7,What is a sine wave?,"A constant-voltage, varying-current wave.",A wave whose amplitude at any given instant can be represented by the projection of a point on a wheel rotating at a uniform speed.,A wave following the laws of the trigonometric tangent function.,A wave whose polarity changes in a random manner.,B,0,
0,3-7A2,E3,A,7,How many degrees are there in one complete sine wave cycle?,90 degrees.,270 degrees.,180 degrees.,360 degrees.,D,0,
0,3-7A3,E3,A,7,What type of wave is made up of sine waves of the fundamental frequency and all the odd harmonics?,Square.,Sine.,Cosine.,Tangent.,A,0,
0,3-7A4,E3,A,7,What is the description of a square wave?,A wave with only 300 degrees in one cycle.,A wave whose periodic function is always negative.,A wave whose periodic function is always positive.,A wave that abruptly changes back and forth between two voltage levels and stays at these levels for equal amounts of time.,D,0,
0,3-7A5,E3,A,7,What type of wave is made up of sine waves at the fundamental frequency and all the harmonics?,Sawtooth wave.,Square wave.,Sine wave.,Cosine wave.,A,0,
0,3-7A6,E3,A,7,What type of wave is characterized by a rise time significantly faster than the fall time (or vice versa)?,Cosine wave.,Square wave.,Sawtooth wave.,Sine wave.,C,0,
0,3-8A1,E3,A,8,What is the term used to identify an AC voltage that would cause the same heating in a resistor as a corresponding value of DC voltage?,Cosine voltage.,Power factor.,Root mean square (RMS).,Average voltage.,C,0,
0,3-8A2,E3,A,8,What happens to reactive power in a circuit that has both inductors and capacitors?,It is dissipated as heat in the circuit.,It alternates between magnetic and electric fields and is not dissipated.,It is dissipated as inductive and capacitive fields.,It is dissipated as kinetic energy within the circuit.,B,0,
0,3-8A3,E3,A,8,Halving the cross-sectional area of a conductor will:,Not affect the resistance.,Quarter the resistance.,Double the resistance.,Halve the resistance.,C,0,
0,3-8A4,E3,A,8,Which of the following groups is correct for listing common materials in order of descending conductivity?,"Silver, copper, aluminum, iron, and lead.","Lead, iron, silver, aluminum, and copper.","Iron, silver, aluminum, copper, and silver.","Silver, aluminum, iron, lead, and copper.",A,0,
0,3-8A5,E3,A,8,How do you compute true power (power dissipated in the circuit) in a circuit where AC voltage and current are out of phase?,Multiply RMS voltage times RMS current.,Subtract apparent power from the power factor.,Divide apparent power by the power factor.,Multiply apparent power times the power factor.,D,0,
0,3-8A6,E3,A,8,"Assuming a power source to have a fixed value of internal resistance, maximum power will be transferred to the load when:",The load impedance is greater than the source impedance.,The load impedance equals the internal impedance of the source.,The load impedance is less than the source impedance.,The fixed values of internal impedance are not relative to the power source.,B,0,
0,3-9B1,E3,B,9,What value of series resistor would be needed to obtain a full scale deflection on a 50 microamp DC meter with an applied voltage of 200 volts DC?,4 megohms.,2 megohms.,400 kilohms.,200 kilohms.,A,0,
0,3-9B2,E3,B,9,Which of the following Ohms Law formulas is incorrect?,I = E / R,I = R / E,E = I x R,R = E / I,B,0,
0,3-9B3,E3,B,9,"If a current of 2 amperes flows through a 50-ohm resistor, what is the voltage across the resistor?",25 volts.,52 volts.,200 volts.,100 volts.,D,0,
0,3-9B4,E3,B,9,"If a 100-ohm resistor is connected across 200 volts, what is the current through the resistor?",2 amperes.,1 ampere.,300 amperes.,"20,000 amperes.",A,0,
0,3-9B5,E3,B,9,"If a current of 3 amperes flows through a resistor connected to 90 volts, what is the resistance?",3 ohms.,30 ohms.,93 ohms.,270 ohms.,B,0,
0,3-9B6,E3,B,9,"A relay coil has 500 ohms resistance, and operates on 125 mA. What value of resistance should be connected in series with it to operate from 110 V DC?",150 ohms.,220 ohms.,380 ohms.,470 ohms.,C,0,
0,3-10B1,E3,B,10,What is the peak-to-peak RF voltage on the 50 ohm output of a 100 watt transmitter?,70 volts.,100 volts.,140 volts.,200 volts.,D,0,
0,3-10B2,E3,B,10,"What is the maximum DC or RMS voltage that may be connected across a 20 watt, 2000 ohm resistor?",10 volts.,100 volts.,200 volts.,"10,000 volts.",C,0,
0,3-10B3,E3,B,10,"A 500-ohm, 2-watt resistor and a 1500-ohm, 1-watt resistor are connected in parallel. What is the maximum voltage that can be applied across the parallel circuit without exceeding wattage ratings?",22.4 volts.,31.6 volts.,38.7 volts.,875 volts.,B,0,
0,3-10B4,E3,B,10,"In Figure 3B1, what is the voltage drop across R1?",9 volts.,7 volts.,5 volts.,3 volts.,C,0,
0,3-10B5,E3,B,10,"In Figure 3B2, what is the voltage drop across R1?",1.2 volts.,2.4 volts.,3.7 volts.,9 volts.,D,0,
0,3-10B6,E3,B,10,"What is the maximum rated current-carrying capacity of a resistor marked ""2000 ohms, 200 watts""?",0.316 amps.,3.16 amps.,10 amps.,100 amps.,A,0,
0,3-11B1,E3,B,11,"What is the most the actual transmit frequency could differ from a reading of 462,100,000 Hertz on a frequency counter with a time base accuracy of +/- 0.1 ppm?",46.21 Hz.,0.1 MHz.,462.1 Hz.,0.2 MHz.,A,0,
0,3-11B2,E3,B,11,The second harmonic of a 380 kHz frequency is:,2 MHz.,760 kHz.,190 kHz.,144.4 GHz.,B,0,
0,3-11B3,E3,B,11,What is the second harmonic of SSB frequency 4146 kHz?,8292 kHz.,4.146 MHz.,2073 kHz.,12438 kHz.,A,0,
0,3-11B4,E3,B,11,"What is the most the actual transmitter frequency could differ from a reading of 156,520,000 hertz on a frequency counter with a time base accuracy of +/- 1.0 ppm?",165.2 Hz.,15.652 kHz.,156.52 Hz.,1.4652 MHz.,C,0,
0,3-11B5,E3,B,11,"What is the most the actual transmitter frequency could differ from a reading of 156,520,000 Hertz on a frequency counter with a time base accuracy of +/- 10 ppm?",146.52 Hz.,1565.20 Hz.,10 Hz.,156.52 kHz.,B,0,
0,3-11B6,E3,B,11,"What is the most the actual transmitter frequency could differ from a reading of 462,100,000 hertz on a frequency counter with a time base accuracy of +/- 1.0 ppm?",46.21 MHz.,10 Hz.,1.0 MHz.,462.1 Hz.,D,0,
0,3-12B1,E3,B,12,"At pi/3 radians, what is the amplitude of a sine-wave having a peak value of 5 volts?",-4.3 volts.,-2.5 volts.,+2.5 volts.,+4.3 volts.,D,0,
0,3-12B2,E3,B,12,"At 150 degrees, what is the amplitude of a sine-wave having a peak value of 5 volts?",-4.3 volts.,-2.5 volts.,+2.5 volts.,+4.3 volts.,C,0,
0,3-12B3,E3,B,12,"At 240 degrees, what is the amplitude of a sine-wave having a peak value of 5 volts?",-4.3 volts.,-2.5 volts.,+2.5 volts.,+4.3 volts.,A,0,
0,3-12B4,E3,B,12,What is the equivalent to the root-mean-square value of an AC voltage?,AC voltage is the square root of the average AC value.,The DC voltage causing the same heating in a given resistor at the peak AC voltage.,The AC voltage found by taking the square of the average value of the peak AC voltage.,The DC voltage causing the same heating in a given resistor as the RMS AC voltage of the same value.,D,0,
0,3-12B5,E3,B,12,What is the RMS value of a 340-volt peak-to-peak pure sine wave?,170 volts AC.,240 volts AC.,120 volts AC.,350 volts AC.,C,0,
0,3-12B6,E3,B,12,Determine the phase relationship between the two signals shown in Figure 3B3.,A is lagging B by 90 degrees.,B is lagging A by 90 degrees.,A is leading B by 180 degrees.,B is leading A by 90 degrees.,B,0,
0,3-13B1,E3,B,13,What does the power factor equal in an R-L circuit having a 60 degree phase angle between the voltage and the current?,0.414,0.866,0.5,1.73,C,0,
0,3-13B2,E3,B,13,"If a resistance to which a constant voltage is applied is halved, what power dissipation will result?",Double.,Halved.,Quadruple.,Remain the same.,A,0,
0,3-13B3,E3,B,13,"746 watts, corresponding to the lifting of 550 pounds at the rate of one-foot-per-second, is the equivalent of how much horsepower?",One-quarter horsepower.,One-half horsepower.,Three-quarters horsepower.,One horsepower.,D,0,
0,3-13B4,E3,B,13,"In a circuit where the AC voltage and current are out of phase, how can the true power be determined?",By multiplying the apparent power times the power factor.,By subtracting the apparent power from the power factor.,By dividing the apparent power by the power factor.,By multiplying the RMS voltage times the RMS current.,A,0,
0,3-13B5,E3,B,13,What does the power factor equal in an R-L circuit having a 45 degree phase angle between the voltage and the current?,0.866,1,0.5,0.707,D,0,
0,3-13B6,E3,B,13,What does the power factor equal in an R-L circuit having a 30 degree phase angle between the voltage and the current?,1.73,0.866,0.5,0.577,B,0,
0,3-14B1,E3,B,14,What is the term for the time required for the capacitor in an RC circuit to be charged to 63.2% of the supply voltage?,An exponential rate of one.,One time constant.,One exponential period.,A time factor of one.,B,0,
0,3-14B2,E3,B,14,"What is the meaning of the term ""time constant of an RC circuit""? The time required to charge the capacitor in the circuit to:",23.7% of the supply voltage.,36.8% of the supply voltage.,57.3% of the supply voltage.,63.2% of the supply voltage.,D,0,
0,3-14B3,E3,B,14,What is the term for the time required for the current in an RL circuit to build up to 63.2% of the maximum value?,One time constant.,An exponential period of one.,A time factor of one.,One exponential rate.,A,0,
0,3-14B4,E3,B,14,"What is the meaning of the term ""time constant of an RL circuit""? The time required for the:",Current in the circuit to build up to 36.8% of the maximum value.,Voltage in the circuit to build up to 63.2% of the maximum value.,Current in the circuit to build up to 63.2% of the maximum value.,Voltage in the circuit to build up to 36.8% of the maximum value.,C,0,
0,3-14B5,E3,B,14,"After two time constants, the capacitor in an RC circuit is charged to what percentage of the supply voltage?",36.80%,63.20%,86.50%,95%,C,0,
0,3-14B6,E3,B,14,"After two time constants, the capacitor in an RC circuit is discharged to what percentage of the starting voltage?",86.50%,13.50%,63.20%,36.80%,B,0,
0,3-15B1,E3,B,15,What is the time constant of a circuit having two 220-microfarad capacitors and two 1-megohm resistors all in parallel?,22 seconds.,44 seconds.,440 seconds.,220 seconds.,D,0,
