id,question_label,element_id,subelement_id,key_topic_id,question_text,answer_one,answer_two,answer_three,answer_four,correct_answer,seen,explanation
0,7R-1A1,E7R,A,1,What is the fundamental concept of the GMDSS?,GMDSS utilizes automated systems and satellite technology to improve emergency communications for the world's shipping industry.,It is intended to automate and improve existing digital selective calling procedures and techniques.,It is intended to provide more effective but lower cost commercial communications.,It is intended to provide compulsory vessels with a collision avoidance system when they are operating in waters that are also occupied by non-compulsory vessels.,A,0,
0,7R-1A2,E7R,A,1,The primary purpose of the GMDSS is:,Allow more effective control of SAR situations by vessels.,Automate and improve emergency communications for the world's shipping industry.,Provide additional shipboard systems for more effective company communications.,Effective and inexpensive communications.,B,0,
0,7R-1A3,E7R,A,1,What is the basic concept of GMDSS?,Shoreside authorities will rely on reports from nearby vessels to become aware of Distress alerts.,Shoreside authorities and vessels can assist in a coordinated SAR operation only after the correct chain of DSC relays takes place.,SAR authorities ashore can be alerted to a Distress situation & shipping in the vicinity can be requested to participate in SAR operations.,SAR authorities ashore wait to have EPIRB Distress alerts confirmed by satellite follow-on communications.,C,0,
0,7R-1A4,E7R,A,1,GMDSS is primarily a system based on:,Ship-to-ship Distress communications using MF or HF radiotelephony.,VHF digital selective calling from ship to shore.,"Distress, Urgency and Safety communications carried out by the use of narrow-band direct printing telegraphy.",The linking of search and rescue authorities ashore with shipping in the immediate vicinity of a ship in Distress or in need of assistance.,D,0,
0,7R-1A5,E7R,A,1,What is the responsibility of compulsory GMDSS vessels?,Every vessel must be able to perform communications functions essential for its own safety and the safety of other vessels.,Vessels must transmit a DSC distress relay upon receipt of a DSC distress alert.,Only the vessels closest to a Distress incident must render assistance.,Vessels must immediately acknowledge all DSC distress alerts.,A,0,
0,7R-1A6,E7R,A,1,GMDSS is required for which of the following?,All vessels capable of international voyages.,SOLAS Convention ships of 300 gross tonnage or more.,Vessels operating outside of the range of VHF coast radio stations.,Coastal vessels of less than 300 gross tons.,B,0,
0,7R-2A1,E7R,A,2,Which GMDSS system utilizes terrestrial radio techniques?,F-77,Inmarsat-C,GPS,VHF-MF-HF-DSC,D,0,
0,7R-2A2,E7R,A,2,What equipment utilizes satellite communications?,Inmarsat-C,VHF-MF-HF,NAVTEX,SART,A,0,
0,7R-2A3,E7R,A,2,What equipment is used in or near the survival craft?,NAVTEX,EPIRB,Fathometer,COSPAS-SARSAT,B,0,
0,7R-2A4,E7R,A,2,What equipment is programmed to initiate transmission of Distress alerts and calls to individual stations?,NAVTEX,GPS,DSC Controller,DSC Scanning Watch Receiver,C,0,
0,7R-2A5,E7R,A,2,What system provides accurate vessel position information to the GMDSS equipment?,COSPAS-SARSAT,EPIRB,GPS,Inmarsat-B,C,0,
0,7R-2A6,E7R,A,2,Which of these can be used to receive MSI?,SART,EPIRB,Inmarsat-B,NAVTEX,D,0,
0,7R-3A1,E7R,A,3,The Sea Area you are in is determined by:,The vessel's distance from shore.,The types of maintenance available to your vessel.,"Whether the ship station is in range of a VHF-DSC, MF-DSC, HF-DSC Coast Station or Inmarsat coverage.",Whether the ship only makes domestic/coastal voyages or it goes international.,C,0,
0,7R-3A2,E7R,A,3,"If a vessel is on a voyage from Miami, Florida to Houston, Texas what Sea Areas may it transit through?",Sea area A3 if it is beyond range of a MF-DSC equipped coast station.,Sea area A2 or A3 if it is not within range of a VHF-DSC equipped coast station.,Sea area A1 only if within range of a VHF-DSC equipped coast station.,All of these answers may be correct depending on coast station DSC coverage.,D,0,
